team,wins,losses,rank
Ravens,13,4,1
Cowboys,12,5,2
Lions,12,5,3
49ers,12,5,4
Bills,11,6,5
Browns,11,6,6
Chiefs,11,6,7
Dolphins,11,6,8
Eagles,11,6,9
Texans,10,7,10
Rams,10,7,11
Steelers,10,7,12
Bengals,9,8,13
Packers,9,8,14
Colts,9,8,15
Jaguars,9,8,16
Saints,9,8,17
Seahawks,9,8,18
Buccaneers,9,8,19
Broncos,8,9,20
Raiders,8,9,21
Falcons,7,10,22
Bears,7,10,23
Vikings,7,10,24
Jets,7,10,25
Giants,6,11,26
Titans,6,11,27
Chargers,5,12,28
Cardinals,4,13,29
Patriots,4,13,30
Commanders,4,13,31
Panthers,2,15,32
