county,population,number_of_households
Dallas,"66,135","25,240"
Dickinson,"16,667","7,554"
Polk,"430,640","170,197"
Warren,"46,225","17,262"
Linn,"211,226","86,134"
Plymouth,"24,986","9,875"
Johnson,"130,882","52,715"
Kossuth,"15,543","6,697"
Scott,"165,224","66,765"
Worth,"7,598","3,172"
Grundy,"12,453","5,131"
Iowa County,"16,355","6,677"
Guthrie,"10,954","4,544"
Bremer,"24,276","9,385"
Boone,"26,306","10,728"
Madison,"15,679","6,025"
Cerro Gordo,"44,151","19,350"
Story,"89,542","34,736"
Mills,"15,059","5,605"
Clay,"16,667","7,282"
Poweshiek,"18,914","7,555"
Benton,"26,076","10,302"
Carroll,"20,816","8,683"
Dubuque,"93,653","36,815"
O'Brien,"14,398","6,069"
Hamilton,"15,673","6,540"
Cedar,"18,499","7,511"
Marion,"33,309","12,723"
Humboldt,"9,815","4,209"
Cherokee,"12,072","5,207"
Emmet,"10,302","4,236"
Harrison,"14,928","5,987"
Audubon,"6,119","2,617"
Hardin,"17,534","7,296"
Muscatine,"42,745","16,412"
Butler,"14,867","6,120"
Washington,"21,704","8,741"
Greene,"9,336","3,996"
Jefferson,"16,843","6,846"
Ida,"7,089","3,052"
Sac,"10,350","4,482"
Pottawattamie,"93,158","36,775"
Fremont,"7,441","3,064"
Winneshiek,"21,056","7,997"
Clinton,"49,116","20,223"
Adams,"4,029","1,715"
Adair,"7,682","3,292"
Buchanan,"20,958","8,161"
Pocahontas,"7,310","3,233"
Black Hawk,"131,090","52,470"
Clarke,"9,286","3,701"
Jasper,"36,842","14,806"
Palo Alto,"9,421","3,994"
Wright,"13,229","5,625"
Osceola,"6,462","2,682"
Henry,"20,145","7,666"
Calhoun,"9,670","4,242"
Tama,"17,767","6,947"
Jackson,"19,848","8,289"
Jones,"20,638","8,181"
Mitchell,"10,776","4,395"
Monona,"9,243","4,050"
Hancock,"11,341","4,741"
Winnebago,"10,866","4,597"
Webster,"38,013","15,580"
Delaware,"17,764","7,062"
Des Moines,"40,325","17,003"
Franklin,"10,680","4,332"
Chickasaw,"12,439","5,204"
Howard,"9,566","3,944"
Marshall,"40,648","15,538"
Shelby,"12,167","5,085"
Wapello,"35,625","14,552"
Clayton,"18,129","7,599"
Keokuk,"10,511","4,408"
Woodbury,"102,172","39,052"
Davis,"8,753","3,201"
Ringgold,"5,131","2,047"
Cass,"13,956","5,980"
Lyon,"11,581","4,442"
Mahaska,"22,381","8,975"
Fayette,"20,880","8,634"
Floyd,"16,303","6,886"
Allamakee,"14,330","5,845"
Taylor,"6,317","2,679"
Sioux,"33,704","11,584"
Lee,"35,862","14,610"
Montgomery,"10,740","4,558"
Buena Vista,"20,260","7,522"
Monroe,"7,970","3,213"
Page,"15,932","6,393"
Crawford,"17,096","6,413"
Union,"12,534","5,271"
Louisa,"11,387","4,346"
Van Buren,"7,570","3,108"
Appanoose,"12,887","5,627"
Lucas,"8,898","3,689"
Wayne,"6,403","2,652"
Decatur,"8,457","3,223"
